Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: antennal cleaning, Head cleaning, Wing cleaning, Abdominal cleaning, Notum cleaning, genital cleaning, Front leg rubbing, front proximal leg rub , Back leg rubbing, proboscis cleaning, ventral head , Walking, first leg notum , Standing still, 1st and 2nd leg rub, 2nd and 3rd leg rub, slip/jump, ventral front cleaning, stimulus ON, backing up, eye, nodding, top eye
Time,Duration,TrackName,comment

0,29088,Standing still,(null)
100371,467,Standing still,(null)
100838,1501,proboscis cleaning,(null)
102339,534,ventral head ,(null)
102873,100,Standing still,(null)
102973,402,ventral head ,(null)
103375,833,Front leg rubbing,(null)
104208,6772,Standing still,(null)
110980,399,proboscis cleaning,(null)
111379,500,ventral head ,(null)
111879,902,Front leg rubbing,(null)
112781,833,ventral head ,(null)
113614,301,Standing still,(null)
113915,199,eye,(null)
114114,134,Standing still,(null)
114248,133,eye,(null)
114381,167,ventral head ,(null)
114548,133,Front leg rubbing,(null)
114681,535,eye,(null)
115216,434,nodding,(null)
115216,467,top eye,(null)
115683,133,ventral head ,(null)
115816,200,Standing still,(null)
115983,366,top eye,(null)
116383,800,Standing still,(null)
117183,133,ventral head ,(null)
117316,368,Standing still,(null)
117684,801,Front leg rubbing,(null)
118485,15744,Standing still,(null)
29021,5004,stimulus ON,(null)
29088,200,backing up,(null)
29288,367,ventral head ,(null)
29655,333,Standing still,(null)
29988,100,ventral head ,(null)
30088,100,Standing still,(null)
30188,200,ventral head ,(null)
30388,1902,Standing still,(null)
32290,1668,proboscis cleaning,(null)
33958,2568,Walking,(null)
36526,2768,Standing still,(null)
39294,1897,proboscis cleaning,(null)
41196,134,ventral head ,(null)
41330,633,Front leg rubbing,(null)
41963,668,proboscis cleaning,(null)
42631,567,Front leg rubbing,(null)
43198,167,eye,(null)
43365,266,Standing still,(null)
43631,900,eye,(null)
44531,33,Standing still,(null)
44564,469,eye,(null)
45033,167,Standing still,(null)
45200,565,eye,(null)
45766,333,top eye,(null)
46099,1002,Front leg rubbing,(null)
47101,400,Standing still,(null)
47501,200,antennal cleaning,(null)
47701,200,eye,(null)
47901,133,Standing still,(null)
48034,267,antennal cleaning,(null)
48168,166,nodding,(null)
48301,333,eye,(null)
48634,1435,Standing still,(null)
50069,634,eye,(null)
50703,100,Standing still,(null)
50903,133,top eye,(null)
51036,300,nodding,(null)
51036,533,eye,(null)
51569,136,antennal cleaning,(null)
51904,434,Standing still,(null)
52338,233,eye,(null)
52438,400,nodding,(null)
52571,134,top eye,(null)
52705,199,eye,(null)
53005,1268,Standing still,(null)
54273,366,eye,(null)
54540,500,nodding,(null)
54639,367,top eye,(null)
55006,967,eye,(null)
55973,1201,Front leg rubbing,(null)
57174,401,Standing still,(null)
57575,2068,eye,(null)
59643,167,antennal cleaning,(null)
59810,266,eye,(null)
60076,1106,Front leg rubbing,(null)
61178,433,Standing still,(null)
61611,333,eye,(null)
61944,134,Standing still,(null)
62078,366,eye,(null)
62255,723,nodding,(null)
62444,500,top eye,(null)
62944,234,eye,(null)
63178,100,Standing still,(null)
63278,402,top eye,(null)
63680,466,Standing still,(null)
64113,4970,stimulus ON,(null)
64146,567,Front leg rubbing,(null)
64713,467,ventral head ,(null)
65180,1768,proboscis cleaning,(null)
66948,166,ventral head ,(null)
67114,734,Front leg rubbing,(null)
67848,3603,Walking,(null)
71451,2035,Standing still,(null)
73486,1333,proboscis cleaning,(null)
74819,200,ventral head ,(null)
75019,134,Front leg rubbing,(null)
75153,368,ventral head ,(null)
75521,367,proboscis cleaning,(null)
75888,1133,Front leg rubbing,(null)
77021,233,Standing still,(null)
77254,369,eye,(null)
77623,333,ventral head ,(null)
77956,21448,Standing still,(null)
99171,5004,stimulus ON,(null)
99404,967,ventral head ,(null)
