Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: antennal cleaning, Head cleaning, Wing cleaning, Abdominal cleaning, Notum cleaning, genital cleaning, Front leg rubbing, front proximal leg rub , Back leg rubbing, proboscis cleaning, ventral head , Walking, first leg notum , Standing still, 1st and 2nd leg rub, 2nd and 3rd leg rub, slip/jump, ventral front cleaning, stimulus ON, backing up, eye, nodding, top eye
Time,Duration,TrackName,comment

0,28559,Standing still,(null)
100423,133,top eye,(null)
100556,267,Standing still,(null)
100823,333,eye,(null)
100823,333,nodding,(null)
101156,68,Standing still,(null)
101258,100,nodding,(null)
101258,133,top eye,(null)
101358,233,Standing still,(null)
101625,133,top eye,(null)
101625,166,nodding,(null)
101758,733,Standing still,(null)
102491,167,top eye,(null)
102491,267,nodding,(null)
102758,30928,Standing still,(null)
28493,5003,stimulus ON,(null)
28559,434,backing up,(null)
28993,133,Standing still,(null)
29493,100,Standing still,(null)
29726,100,Standing still,(null)
29826,169,top eye,(null)
29860,99,nodding,(null)
30028,66,Standing still,(null)
30228,366,Standing still,(null)
30594,167,nodding,(null)
30594,209,top eye,(null)
30828,3003,Walking,(null)
33831,2502,Standing still,(null)
36766,1061,Front leg rubbing,(null)
37801,167,eye,(null)
37801,467,nodding,(null)
37968,300,top eye,(null)
38334,567,Standing still,(null)
39334,302,Standing still,(null)
39636,834,Front leg rubbing,(null)
40470,266,eye,(null)
40470,399,nodding,(null)
40736,133,top eye,(null)
40869,502,eye,(null)
41371,200,Standing still,(null)
41738,200,eye,(null)
41738,233,nodding,(null)
41938,300,antennal cleaning,(null)
42238,67,Standing still,(null)
42305,99,nodding,(null)
42305,99,top eye,(null)
42404,200,eye,(null)
42604,21287,Standing still,(null)
63556,5005,stimulus ON,(null)
64025,66,top eye,(null)
64125,99,top eye,(null)
64258,66,Standing still,(null)
64324,101,top eye,(null)
64425,133,eye,(null)
64425,133,nodding,(null)
64558,200,Standing still,(null)
64724,234,top eye,(null)
64958,133,Standing still,(null)
65091,133,nodding,(null)
65091,133,top eye,(null)
65224,169,Standing still,(null)
65391,402,top eye,(null)
65793,733,Walking,(null)
66526,134,nodding,(null)
66526,134,top eye,(null)
66660,2101,Walking,(null)
68761,2335,Standing still,(null)
71096,2570,Walking,(null)
73666,1502,Standing still,(null)
75201,133,top eye,(null)
75334,334,eye,(null)
75668,23020,Standing still,(null)
98621,5005,stimulus ON,(null)
98688,100,backing up,(null)
98788,233,Standing still,(null)
99154,536,Walking,(null)
99690,100,top eye,(null)
99690,133,nodding,(null)
99823,600,Standing still,(null)
