Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: antennal cleaning, Head cleaning, Wing cleaning, Abdominal cleaning, Notum cleaning, genital cleaning, Front leg rubbing, front proximal leg rub , Back leg rubbing, proboscis cleaning, ventral head , Walking, first leg notum , Standing still, 1st and 2nd leg rub, 2nd and 3rd leg rub, slip/jump, ventral front cleaning, stimulus ON, backing up, eye, nodding, top eye
Time,Duration,TrackName,comment

0,28944,Standing still,(null)
100153,100,Standing still,(null)
100253,166,top eye,(null)
100286,167,nodding,(null)
100453,167,Standing still,(null)
100620,435,nodding,(null)
100620,501,top eye,(null)
101088,733,Standing still,(null)
101821,200,top eye,(null)
101821,267,nodding,(null)
102088,675,Standing still,(null)
102690,233,top eye,(null)
102756,167,nodding,(null)
102923,31181,Standing still,(null)
28878,5006,stimulus ON,(null)
28944,134,backing up,(null)
29078,167,Standing still,(null)
29278,133,top eye,(null)
29378,335,Standing still,(null)
29746,133,top eye,(null)
29846,200,Standing still,(null)
30046,200,nodding,(null)
30046,234,top eye,(null)
30280,400,Standing still,(null)
30680,501,top eye,(null)
31148,333,Standing still,(null)
31448,166,top eye,(null)
31481,133,nodding,(null)
31648,202,Standing still,(null)
31850,266,nodding,(null)
31850,300,top eye,(null)
32150,166,Standing still,(null)
32283,327,top eye,(null)
32316,267,nodding,(null)
32616,435,Standing still,(null)
33051,134,top eye,(null)
33218,433,Standing still,(null)
33651,8247,Walking,(null)
41898,22133,Standing still,(null)
63965,5006,stimulus ON,(null)
64031,233,backing up,(null)
64264,335,nodding,(null)
64398,133,top eye,(null)
64598,302,nodding,(null)
64598,33,Standing still,(null)
64631,302,top eye,(null)
64933,100,Standing still,(null)
65033,200,top eye,(null)
65133,133,nodding,(null)
65233,67,Standing still,(null)
65266,300,nodding,(null)
65300,500,top eye,(null)
65800,368,Standing still,(null)
66135,299,top eye,(null)
66201,233,nodding,(null)
66468,200,Standing still,(null)
66668,166,nodding,(null)
66668,166,top eye,(null)
66868,135,Standing still,(null)
67003,200,nodding,(null)
67003,200,top eye,(null)
67236,367,Standing still,(null)
67603,333,nodding,(null)
67669,201,top eye,(null)
67936,202,Standing still,(null)
68105,233,nodding,(null)
68138,167,top eye,(null)
68338,66,Standing still,(null)
68438,333,top eye,(null)
68805,99,Standing still,(null)
68904,1335,Front leg rubbing,(null)
70239,29212,Standing still,(null)
99051,5007,stimulus ON,(null)
99451,133,nodding,(null)
99451,133,top eye,(null)
99618,33,Standing still,(null)
99651,234,nodding,(null)
99751,369,top eye,(null)
99885,33,Standing still,(null)
99918,235,nodding,(null)
