Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: antennal cleaning, Head cleaning, Wing cleaning, Abdominal cleaning, Notum cleaning, genital cleaning, Front leg rubbing, front proximal leg rub , Back leg rubbing, proboscis cleaning, ventral head , Walking, first leg notum , Standing still, 1st and 2nd leg rub, 2nd and 3rd leg rub, slip/jump, ventral front cleaning, stimulus ON, backing up, eye, nodding, top eye
Time,Duration,TrackName,comment

0,8606,Standing still,(null)
10708,435,Standing still,(null)
11409,634,Standing still,(null)
12310,433,Standing still,(null)
13078,133,Standing still,(null)
13845,9873,Standing still,(null)
23618,5005,stimulus ON,(null)
23781,167,backing up,(null)
23853,100,Standing still,(null)
24071,148,nodding,(null)
24548,300,nodding,(null)
25053,100,Standing still,(null)
25520,233,Standing still,(null)
25750,433,nodding,(null)
26221,367,Standing still,(null)
26854,201,Standing still,(null)
27483,400,nodding,(null)
27488,100,Standing still,(null)
27888,335,Standing still,(null)
28423,10875,Standing still,(null)
30551,200,nodding,(null)
38696,5005,stimulus ON,(null)
39825,366,nodding,(null)
39831,67,Standing still,(null)
40331,433,Head cleaning,(null)
40358,566,nodding,(null)
40764,436,Standing still,(null)
41666,667,Standing still,(null)
41758,400,nodding,(null)
42459,300,nodding,(null)
42766,33,Standing still,(null)
42893,533,nodding,(null)
43259,834,top eye,(null)
43299,269,Standing still,(null)
43526,334,nodding,(null)
43968,9807,Standing still,(null)
44259,301,top eye,(null)
44826,735,top eye,(null)
44926,302,nodding,(null)
45828,233,eye,(null)
45861,367,nodding,(null)
46428,200,top eye,(null)
8573,4972,stimulus ON,(null)
8739,67,backing up,(null)
9308,500,Standing still,(null)
9975,566,Standing still,(null)
