Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: antennal cleaning, Head cleaning, Wing cleaning, Abdominal cleaning, Notum cleaning, genital cleaning, Front leg rubbing, front proximal leg rub , Back leg rubbing, proboscis cleaning, ventral head , Walking, first leg notum , Standing still, 1st and 2nd leg rub, 2nd and 3rd leg rub, slip/jump, ventral front cleaning, stimulus ON, backing up, eye, nodding, top eye
Time,Duration,TrackName,comment

0,8606,Standing still,(null)
10541,167,nodding,(null)
10708,435,Standing still,(null)
11143,266,nodding,(null)
11409,634,Standing still,(null)
12043,267,nodding,(null)
12310,433,Standing still,(null)
12743,335,nodding,(null)
13078,133,Standing still,(null)
13211,634,nodding,(null)
13845,9873,Standing still,(null)
23618,5005,stimulus ON,(null)
23718,135,backing up,(null)
23853,100,Standing still,(null)
23953,266,nodding,(null)
23953,866,top eye,(null)
24920,100,top eye,(null)
25053,100,Standing still,(null)
25153,367,nodding,(null)
25520,233,Standing still,(null)
25753,470,nodding,(null)
26221,367,Standing still,(null)
26588,266,nodding,(null)
26854,201,Standing still,(null)
27055,433,nodding,(null)
27488,100,Standing still,(null)
27588,300,nodding,(null)
27888,335,Standing still,(null)
28223,200,nodding,(null)
28423,10875,Standing still,(null)
38696,5005,stimulus ON,(null)
39264,267,nodding,(null)
39298,533,top eye,(null)
39831,67,Standing still,(null)
39898,433,nodding,(null)
40165,566,top eye,(null)
40764,436,Standing still,(null)
41200,463,nodding,(null)
41666,667,Standing still,(null)
42333,433,nodding,(null)
42766,33,Standing still,(null)
42799,505,nodding,(null)
43299,269,Standing still,(null)
43568,400,nodding,(null)
43968,9807,Standing still,(null)
8573,4972,stimulus ON,(null)
8606,168,backing up,(null)
8774,101,eye,(null)
9041,300,top eye,(null)
9175,133,nodding,(null)
9308,500,Standing still,(null)
9808,167,nodding,(null)
9975,566,Standing still,(null)
