Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: antennal cleaning, Head cleaning, Wing cleaning, Abdominal cleaning, Notum cleaning, genital cleaning, Front leg rubbing, front proximal leg rub , Back leg rubbing, proboscis cleaning, ventral head , Walking, first leg notum , Standing still, 1st and 2nd leg rub, 2nd and 3rd leg rub, slip/jump, ventral front cleaning, stimulus ON, backing up, eye, nodding, top eye
Time,Duration,TrackName,comment

0,8838,Standing still,(null)
12273,166,nodding,(null)
12439,401,Standing still,(null)
12840,433,nodding,(null)
13273,333,Standing still,(null)
13606,333,nodding,(null)
13939,1100,Standing still,(null)
15039,8706,Walking,(null)
23745,766,Standing still,(null)
23844,5002,stimulus ON,(null)
24511,700,nodding,(null)
25211,267,Standing still,(null)
25478,533,nodding,(null)
26011,433,Standing still,(null)
26444,202,nodding,(null)
26646,333,Standing still,(null)
26979,467,nodding,(null)
27446,433,Standing still,(null)
27879,467,nodding,(null)
28346,100,Standing still,(null)
28446,300,nodding,(null)
28746,10838,Standing still,(null)
38918,5001,stimulus ON,(null)
39584,167,nodding,(null)
39751,434,Standing still,(null)
40185,199,nodding,(null)
40384,734,Standing still,(null)
41118,133,nodding,(null)
41251,333,Standing still,(null)
41584,335,nodding,(null)
41919,34,Standing still,(null)
41953,166,slip/jump,(null)
42119,800,Standing still,(null)
42919,334,nodding,(null)
43253,533,Standing still,(null)
43786,500,nodding,(null)
44286,9705,Standing still,(null)
8771,5035,stimulus ON,(null)
8838,300,backing up,(null)
9138,3144,Standing still,(null)
