Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: antennal cleaning, Head cleaning, Wing cleaning, Abdominal cleaning, Notum cleaning, genital cleaning, Front leg rubbing, front proximal leg rub , Back leg rubbing, proboscis cleaning, ventral head , Walking, first leg notum , Standing still, 1st and 2nd leg rub, 2nd and 3rd leg rub, slip/jump, ventral front cleaning, stimulus ON, backing up, eye, nodding, top eye
Time,Duration,TrackName,comment

0,8678,Standing still,(null)
11681,334,nodding,(null)
12015,833,Standing still,(null)
12848,335,nodding,(null)
13183,133,Standing still,(null)
13316,267,nodding,(null)
13583,167,Standing still,(null)
13750,233,nodding,(null)
13983,4205,Standing still,(null)
18188,1035,Walking,(null)
19223,4538,Standing still,(null)
23694,5006,stimulus ON,(null)
23761,400,backing up,(null)
24161,1970,Standing still,(null)
26131,367,nodding,(null)
26498,100,Standing still,(null)
26598,567,nodding,(null)
27165,133,Standing still,(null)
27298,468,nodding,(null)
27766,1335,Standing still,(null)
29101,233,nodding,(null)
29334,10546,Standing still,(null)
38778,5006,stimulus ON,(null)
39880,401,nodding,(null)
40281,100,Standing still,(null)
40381,567,nodding,(null)
40948,267,Standing still,(null)
41215,535,nodding,(null)
41750,200,Standing still,(null)
41950,599,nodding,(null)
42549,101,Standing still,(null)
42650,500,nodding,(null)
43150,301,Standing still,(null)
43451,367,nodding,(null)
43818,100,Standing still,(null)
43918,233,nodding,(null)
44151,9712,Standing still,(null)
8645,4971,stimulus ON,(null)
8678,331,backing up,(null)
9011,233,Standing still,(null)
9244,101,top eye,(null)
9244,134,nodding,(null)
9378,2303,Standing still,(null)
