Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: antennal cleaning, Head cleaning, Wing cleaning, Abdominal cleaning, Notum cleaning, genital cleaning, Front leg rubbing, front proximal leg rub , Back leg rubbing, proboscis cleaning, ventral head , Walking, first leg notum , Standing still, 1st and 2nd leg rub, 2nd and 3rd leg rub, slip/jump, ventral front cleaning, stimulus ON, backing up, eye, nodding, top eye
Time,Duration,TrackName,comment

0,8774,Standing still,(null)
10108,233,nodding,(null)
10341,2035,Walking,(null)
12376,367,nodding,(null)
12743,233,Walking,(null)
12976,468,nodding,(null)
13444,434,Standing still,(null)
13878,233,nodding,(null)
14111,1902,Walking,(null)
16013,2868,Standing still,(null)
18881,4870,Walking,(null)
23751,202,backing up,(null)
23784,5006,stimulus ON,(null)
23953,100,top eye,(null)
23986,400,nodding,(null)
24186,133,top eye,(null)
24386,333,Standing still,(null)
24719,301,nodding,(null)
25020,333,Standing still,(null)
25353,333,nodding,(null)
25686,67,Standing still,(null)
25753,233,nodding,(null)
25986,202,Standing still,(null)
26188,400,nodding,(null)
26588,300,Standing still,(null)
26888,366,nodding,(null)
27254,200,Standing still,(null)
27454,367,nodding,(null)
27821,502,Standing still,(null)
28323,367,nodding,(null)
28690,233,Standing still,(null)
28923,167,nodding,(null)
29090,10008,Walking,(null)
38863,5005,stimulus ON,(null)
39064,1334,nodding,(null)
39131,133,eye,(null)
40398,166,Standing still,(null)
40564,434,nodding,(null)
40998,33,Standing still,(null)
41031,369,nodding,(null)
41400,133,Standing still,(null)
41533,367,nodding,(null)
41900,766,Walking,(null)
42666,234,nodding,(null)
42900,300,Walking,(null)
43200,434,nodding,(null)
43634,700,Walking,(null)
44334,467,nodding,(null)
44801,9140,Standing still,(null)
8741,4970,stimulus ON,(null)
8774,367,backing up,(null)
8908,264,eye,(null)
9141,967,Walking,(null)
