Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: antennal cleaning, Head cleaning, Wing cleaning, Abdominal cleaning, Notum cleaning, genital cleaning, Front leg rubbing, front proximal leg rub , Back leg rubbing, proboscis cleaning, ventral head , Walking, first leg notum , Standing still, 1st and 2nd leg rub, 2nd and 3rd leg rub, slip/jump, ventral front cleaning, stimulus ON, backing up, eye, nodding, top eye
Time,Duration,TrackName,comment

0,28851,Standing still,(null)
100096,367,top eye,(null)
100129,101,nodding,(null)
100263,200,nodding,(null)
100463,267,Standing still,(null)
100730,266,top eye,(null)
100830,133,nodding,(null)
100996,800,Standing still,(null)
101796,167,nodding,(null)
101796,167,top eye,(null)
101963,801,Standing still,(null)
102764,167,nodding,(null)
102764,167,top eye,(null)
102931,800,Standing still,(null)
103698,300,top eye,(null)
103831,133,nodding,(null)
103964,30052,Standing still,(null)
28818,5003,stimulus ON,(null)
28851,333,backing up,(null)
29184,334,Standing still,(null)
29518,102,top eye,(null)
29620,66,Standing still,(null)
29686,167,top eye,(null)
29886,200,Standing still,(null)
30086,133,top eye,(null)
30219,301,Standing still,(null)
30586,267,top eye,(null)
30886,100,Standing still,(null)
30986,200,top eye,(null)
31186,200,Standing still,(null)
31386,367,top eye,(null)
31753,167,Standing still,(null)
31920,535,top eye,(null)
32455,233,Front leg rubbing,(null)
32688,567,Standing still,(null)
33221,367,top eye,(null)
33421,100,nodding,(null)
33555,333,Standing still,(null)
33854,234,top eye,(null)
34088,1002,Standing still,(null)
35090,266,Front leg rubbing,(null)
35356,100,Standing still,(null)
35456,1134,Front leg rubbing,(null)
36590,566,top eye,(null)
37189,134,Standing still,(null)
37323,835,Front leg rubbing,(null)
38158,400,top eye,(null)
38191,667,nodding,(null)
38558,400,eye,(null)
38958,367,Standing still,(null)
39325,99,eye,(null)
39424,300,nodding,(null)
39424,334,top eye,(null)
39791,133,Standing still,(null)
39924,769,Front leg rubbing,(null)
40693,766,Standing still,(null)
41459,500,nodding,(null)
41459,634,top eye,(null)
42093,866,Front leg rubbing,(null)
42959,20980,Standing still,(null)
63873,5003,stimulus ON,(null)
63939,134,backing up,(null)
64106,1368,top eye,(null)
64506,369,Standing still,(null)
64875,99,nodding,(null)
65008,100,nodding,(null)
65474,367,Standing still,(null)
65841,176,nodding,(null)
65841,233,top eye,(null)
66074,2036,Standing still,(null)
68110,133,nodding,(null)
68110,133,top eye,(null)
68309,167,nodding,(null)
68309,167,top eye,(null)
68476,171,Standing still,(null)
68643,367,nodding,(null)
68709,301,top eye,(null)
69010,29986,Standing still,(null)
98928,5003,stimulus ON,(null)
98995,266,backing up,(null)
99294,134,top eye,(null)
99428,168,Standing still,(null)
99596,300,top eye,(null)
99930,166,Standing still,(null)
