Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: antennal cleaning, Head cleaning, Wing cleaning, Abdominal cleaning, Notum cleaning, genital cleaning, Front leg rubbing, front proximal leg rub , Back leg rubbing, proboscis cleaning, ventral head , Walking, first leg notum , Standing still, 1st and 2nd leg rub, 2nd and 3rd leg rub, slip/jump, ventral front cleaning, stimulus ON, backing up, eye, nodding, top eye
Time,Duration,TrackName,comment

0,2436,Walking,(null)
100083,568,Front leg rubbing,(null)
100651,400,ventral head ,(null)
101051,133,Standing still,(null)
101184,400,proboscis cleaning,(null)
101584,467,Front leg rubbing,(null)
102051,635,ventral head ,(null)
102686,300,Standing still,(null)
102986,1200,proboscis cleaning,(null)
104186,335,ventral head ,(null)
104521,100,Standing still,(null)
104621,234,ventral head ,(null)
104855,166,Standing still,(null)
105021,167,ventral head ,(null)
105188,333,Standing still,(null)
105521,800,Front leg rubbing,(null)
106321,167,ventral head ,(null)
106488,668,Standing still,(null)
107156,700,nodding,(null)
107156,733,eye,(null)
107889,200,Standing still,(null)
108089,267,eye,(null)
108123,300,nodding,(null)
108356,67,Standing still,(null)
108423,602,eye,(null)
108456,569,nodding,(null)
109025,1133,Standing still,(null)
110158,602,top eye,(null)
110158,768,nodding,(null)
110760,199,eye,(null)
110959,51,Standing still,(null)
110993,1133,nodding,(null)
111426,154,eye,(null)
111593,533,top eye,(null)
112126,200,Standing still,(null)
112326,335,top eye,(null)
112326,735,nodding,(null)
112651,344,eye,(null)
112995,133,antennal cleaning,(null)
113128,166,eye,(null)
113128,166,nodding,(null)
113294,734,Standing still,(null)
114028,200,top eye,(null)
114228,19550,Standing still,(null)
13578,2035,Walking,(null)
15613,13012,Standing still,(null)
2436,11142,Standing still,(null)
28591,5004,stimulus ON,(null)
28625,66,backing up,(null)
28691,134,Standing still,(null)
28825,133,ventral head ,(null)
28958,333,Standing still,(null)
29291,167,ventral head ,(null)
29458,233,Standing still,(null)
29691,167,ventral head ,(null)
29858,902,Standing still,(null)
30760,366,ventral head ,(null)
31126,200,Standing still,(null)
31326,233,ventral head ,(null)
31559,1169,Front leg rubbing,(null)
32728,266,Standing still,(null)
32994,134,ventral head ,(null)
33128,467,Standing still,(null)
33595,433,ventral head ,(null)
34028,29658,Standing still,(null)
63653,5005,stimulus ON,(null)
63686,304,backing up,(null)
63986,602,ventral head ,(null)
64588,166,Standing still,(null)
64754,134,ventral head ,(null)
64888,133,Standing still,(null)
65021,934,ventral head ,(null)
65955,434,Front leg rubbing,(null)
66389,600,Standing still,(null)
66989,234,ventral head ,(null)
67223,1067,proboscis cleaning,(null)
68290,434,ventral head ,(null)
68724,1100,Front leg rubbing,(null)
69824,201,ventral head ,(null)
70025,166,Standing still,(null)
70191,67,ventral head ,(null)
70258,801,Front leg rubbing,(null)
71059,667,ventral head ,(null)
71726,100,Standing still,(null)
71826,1568,proboscis cleaning,(null)
73394,134,eye,(null)
73528,500,ventral head ,(null)
74028,166,eye,(null)
74194,134,Standing still,(null)
74328,335,nodding,(null)
74328,368,eye,(null)
74696,867,Front leg rubbing,(null)
75563,267,ventral head ,(null)
75830,233,Front leg rubbing,(null)
76063,100,Standing still,(null)
76163,1568,proboscis cleaning,(null)
77731,567,ventral head ,(null)
78298,968,Front leg rubbing,(null)
79266,267,ventral head ,(null)
79533,433,Standing still,(null)
79966,1735,proboscis cleaning,(null)
81701,633,ventral head ,(null)
82334,102,Standing still,(null)
82436,133,ventral head ,(null)
82569,867,Front leg rubbing,(null)
83436,200,ventral head ,(null)
83636,1102,Standing still,(null)
84738,1200,Front leg rubbing,(null)
85938,400,ventral head ,(null)
86338,668,Front leg rubbing,(null)
87006,367,ventral head ,(null)
87373,300,Standing still,(null)
87673,400,ventral head ,(null)
88073,1635,proboscis cleaning,(null)
89708,935,ventral head ,(null)
90643,8107,Standing still,(null)
98716,5004,stimulus ON,(null)
98750,266,backing up,(null)
99016,1067,ventral head ,(null)
